idn	akten-nr
1280492368                         	HABV_91_1_249               
1280492376                         	HABV_91_1_250               
1280492384                         	HABV_91_1_251               
1280492392                         	HABV_91_1_252               
1280492406                         	HABV_91_1_253               
1280492414                         	HABV_91_1_254               
1280492422                         	HABV_91_1_256               
1280492430                         	HABV_91_1_257               
1280492449                         	HABV_91_1_258               
1280492457                         	HABV_91_1_261               
1280492465                         	HABV_91_1_264               
1280492473                         	HABV_91_1_267               
1280492481                         	HABV_91_1_268               
128049249X                         	HABV_91_1_270               
1280492503                         	HABV_91_1_271               
1280492511                         	HABV_91_1_272               
128049252X                         	HABV_91_1_275               
1280492538                         	HABV_91_1_276               
1280492546                         	HABV_91_1_277               
1280492554                         	HABV_91_1_278               
1280492562                         	HABV_91_1_281               
1280492570                         	HABV_91_1_282               
1280492589                         	HABV_91_1_286               
1280492597                         	HABV_91_1_287               
1280492600                         	HABV_91_1_288               
1280492619                         	HABV_91_1_289               
1280492627                         	HABV_91_1_290               
1280492635                         	HABV_91_1_291               
1280492643                         	HABV_91_1_292               
1280492651                         	HABV_91_1_293               
128049266X                         	HABV_91_1_295               
1280492678                         	HABV_91_1_296               
1280492686                         	HABV_91_1_297               
1280492694                         	HABV_91_1_298               
1280492708                         	HABV_91_1_299               
1280492716                         	HABV_91_1_301               
1280492724                         	HABV_91_1_304               
1280492732                         	HABV_91_1_305               
1280492740                         	HABV_91_1_309               
1280492759                         	HABV_91_1_313               
1280492767                         	HABV_91_1_316               
1280492775                         	HABV_91_1_317               
1280492783                         	HABV_91_1_319               
1280492791                         	HABV_91_1_320               
1280492805                         	HABV_91_1_322               
1280492813                         	HABV_91_1_323               
1280492821                         	HABV_91_1_325               
128049283X                         	HABV_91_1_326               
1280492848                         	HABV_91_1_327               
1280492856                         	HABV_91_1_329               
1280492864                         	HABV_91_1_330               
1280492872                         	HABV_91_1_331               
1280492880                         	HABV_91_1_332               
1280492899                         	HABV_91_1_333               
1280492902                         	HABV_91_1_334               
1280492910                         	HABV_91_1_335               
1280492929                         	HABV_91_1_337               
1280492937                         	HABV_91_1_338               
1280492945                         	HABV_91_1_339               
1280492953                         	HABV_91_1_340               
1280492961                         	HABV_91_1_343               
128049297X                         	HABV_91_1_344               
1280492988                         	HABV_91_1_347               
1280492996                         	HABV_91_1_349               
1280493003                         	HABV_91_1_350               
1280493011                         	HABV_91_1_352               
128049302X                         	HABV_91_1_353               
1280493038                         	HABV_91_1_354               
1280493046                         	HABV_91_1_356               
1280493054                         	HABV_91_1_358               
1280493062                         	HABV_91_1_360               
1280493070                         	HABV_91_1_361               
1280493089                         	HABV_91_1_362               
1280493097                         	HABV_91_1_363               
1280493100                         	HABV_91_1_365               
1280493119                         	HABV_91_1_371               
1280493127                         	HABV_91_1_372               
1280493135                         	HABV_91_1_374               
1280493143                         	HABV_91_1_377               
1280493151                         	HABV_91_1_380               
128049316X                         	HABV_91_1_381               
1280493178                         	HABV_91_1_382               
1280493186                         	HABV_91_1_383               
1280493194                         	HABV_91_1_384               
1280493208                         	HABV_91_1_386               
1280493216                         	HABV_91_1_387               
1280493224                         	HABV_91_1_388               
1280493232                         	HABV_91_1_391               
1280493240                         	HABV_91_1_392               
1280493259                         	HABV_91_1_393               
1280493267                         	HABV_91_1_396               
1280493275                         	HABV_91_1_398               
1280493283                         	HABV_91_1_399               
1280493291                         	HABV_91_1_401               
1280493305                         	HABV_91_1_402               
1280493313                         	HABV_91_1_403               
1280493321                         	HABV_91_1_405               
128049333X                         	HABV_91_1_406               
1280493348                         	HABV_91_1_407               
1280493356                         	HABV_91_1_409               
1280493364                         	HABV_91_1_411               
1280493372                         	HABV_91_1_413               
1280493380                         	HABV_91_1_414               
1280493399                         	HABV_91_1_419               
1280493402                         	HABV_91_1_423               
1280493410                         	HABV_91_1_424               
1280493429                         	HABV_91_1_425               
1280493437                         	HABV_91_1_429               
1280493445                         	HABV_91_1_430               
1280493453                         	HABV_91_1_431               
1280493461                         	HABV_91_1_432               
128049347X                         	HABV_91_1_434               
1280493488                         	HABV_91_1_438               
1280493496                         	HABV_91_1_439               
128049350X                         	HABV_91_1_441               
1280493518                         	HABV_91_1_442               
1280493526                         	HABV_91_1_445               
1280493534                         	HABV_91_1_446               
1280493542                         	HABV_91_1_448               
1280493550                         	HABV_91_1_449               
1280493569                         	HABV_91_1_454               
1280493577                         	HABV_91_1_456               
1280493585                         	HABV_91_1_457               
1280493593                         	HABV_91_1_460               
1280493607                         	HABV_91_1_463               
1280493615                         	HABV_91_1_467               
1280493623                         	HABV_91_1_469               
1280493631                         	HABV_91_1_471               
128049364X                         	HABV_91_1_474               
1280493658                         	HABV_91_1_475               
1280493666                         	HABV_91_1_476               
1280493674                         	HABV_91_1_479               
1280493682                         	HABV_91_1_481               
1280493690                         	HABV_91_1_482               
1280493704                         	HABV_91_1_483               
1280493712                         	HABV_91_1_486               
1280493720                         	HABV_91_1_489               
1280493739                         	HABV_91_1_490               
1280493747                         	HABV_91_1_493               
1280493755                         	HABV_91_1_494               
1280493763                         	HABV_91_1_495               
1280493771                         	HABV_91_1_497               
128049378X                         	HABV_91_1_499               
1280493798                         	HABV_91_1_501               
1280493801                         	HABV_91_1_506               
128049381X                         	HABV_91_1_508               
1280493828                         	HABV_91_1_509               
1280493836                         	HABV_91_1_510               
1280493844                         	HABV_91_1_511               
1280493852                         	HABV_91_1_512               
1280493860                         	HABV_91_1_513               
1280493879                         	HABV_91_1_515               
1280493887                         	HABV_91_1_516               
1280493895                         	HABV_91_1_517               
1280493909                         	HABV_91_1_518               
1280493917                         	HABV_91_1_519               
1280493925                         	HABV_91_1_520               
1280493933                         	HABV_91_1_524               
1280493941                         	HABV_91_1_525               
128049395X                         	HABV_91_1_527               
1280493968                         	HABV_91_1_530               
1280493976                         	HABV_91_1_531               
1280493984                         	HABV_91_1_532               
1280493992                         	HABV_91_1_534               
128049400X                         	HABV_91_1_535               
1280494018                         	HABV_91_1_537               
1280494026                         	HABV_91_1_538               
1280494034                         	HABV_91_1_542               
1280494042                         	HABV_91_1_543               
1280494050                         	HABV_91_1_545               
1280494069                         	HABV_91_1_547               
