idn	akten-nr
1247323048                         	HABV_91_1_325               
1247323056                         	HABV_91_1_326               
1247323064                         	HABV_91_1_327               
1247323072                         	HABV_91_1_329               
1247323080                         	HABV_91_1_330               
1247323099                         	HABV_91_1_331               
1247323102                         	HABV_91_1_332               
1247323110                         	HABV_91_1_333               
1247323129                         	HABV_91_1_334               
1247323137                         	HABV_91_1_335               
1247323145                         	HABV_91_1_337               
1247323153                         	HABV_91_1_338               
1247323161                         	HABV_91_1_339               
124732317X                         	HABV_91_1_340               
1247323188                         	HABV_91_1_343               
1247323196                         	HABV_91_1_344               
124732320X                         	HABV_91_1_347               
1247323218                         	HABV_91_1_349               
1247323226                         	HABV_91_1_350               
1247323234                         	HABV_91_1_352               
1247323242                         	HABV_91_1_353               
1247323250                         	HABV_91_1_354               
1247323269                         	HABV_91_1_356               
1247323277                         	HABV_91_1_358               
1247323285                         	HABV_91_1_360               
1247323293                         	HABV_91_1_361               
1247323307                         	HABV_91_1_362               
1247323315                         	HABV_91_1_363               
1247323323                         	HABV_91_1_365               
1247323331                         	HABV_91_1_371               
124732334X                         	HABV_91_1_372               
1247323358                         	HABV_91_1_374               
1247323366                         	HABV_91_1_377               
1247323374                         	HABV_91_1_380               
1247323382                         	HABV_91_1_381               
1247323390                         	HABV_91_1_382               
1247323404                         	HABV_91_1_383               
1247323412                         	HABV_91_1_384               
1247323420                         	HABV_91_1_386               
1247323439                         	HABV_91_1_387               
1247323447                         	HABV_91_1_388               
1247323455                         	HABV_91_1_391               
1247323463                         	HABV_91_1_392               
1247323471                         	HABV_91_1_393               
124732348X                         	HABV_91_1_396               
1247323498                         	HABV_91_1_398               
1247323501                         	HABV_91_1_399               
124732351X                         	HABV_91_1_401               
1247323528                         	HABV_91_1_402               
1247323536                         	HABV_91_1_403               
1247323544                         	HABV_91_1_405               
1247323552                         	HABV_91_1_406               
1247323560                         	HABV_91_1_407               
1247323579                         	HABV_91_1_409               
1247323587                         	HABV_91_1_411               
1247323595                         	HABV_91_1_413               
1247323609                         	HABV_91_1_414               
1247323617                         	HABV_91_1_419               
1247323625                         	HABV_91_1_423               
1247323633                         	HABV_91_1_424               
1247323641                         	HABV_91_1_425               
124732365X                         	HABV_91_1_429               
1247323668                         	HABV_91_1_430               
1247323676                         	HABV_91_1_431               
1247323684                         	HABV_91_1_432               
1247323692                         	HABV_91_1_434               
1247323706                         	HABV_91_1_438               
1247323714                         	HABV_91_1_439               
1247323722                         	HABV_91_1_441               
1247323730                         	HABV_91_1_442               
1247323749                         	HABV_91_1_445               
1247323757                         	HABV_91_1_446               
1247323765                         	HABV_91_1_447               
1247323773                         	HABV_91_1_448               
1247323781                         	HABV_91_1_449               
124732379X                         	HABV_91_1_454               
1247323803                         	HABV_91_1_456               
1247323811                         	HABV_91_1_457               
124732382X                         	HABV_91_1_460               
1247323838                         	HABV_91_1_463               
1247323846                         	HABV_91_1_467               
1247323854                         	HABV_91_1_469               
1247323862                         	HABV_91_1_471               
1247323870                         	HABV_91_1_474               
1247323889                         	HABV_91_1_475               
1247323897                         	HABV_91_1_476               
1247323900                         	HABV_91_1_479               
1247323919                         	HABV_91_1_481               
1247323927                         	HABV_91_1_482               
1247323935                         	HABV_91_1_483               
1247323943                         	HABV_91_1_486               
1247323951                         	HABV_91_1_489               
124732396X                         	HABV_91_1_490               
1247323978                         	HABV_91_1_493               
1247323986                         	HABV_91_1_494               
1247323994                         	HABV_91_1_495               
1247324001                         	HABV_91_1_497               
124732401X                         	HABV_91_1_499               
1247324028                         	HABV_91_1_501               
1247324036                         	HABV_91_1_506               
1247324044                         	HABV_91_1_508               
1247324052                         	HABV_91_1_509               
1247324060                         	HABV_91_1_510               
1247324079                         	HABV_91_1_511               
1247324087                         	HABV_91_1_512               
1247324095                         	HABV_91_1_513               
1247324109                         	HABV_91_1_515               
1247324117                         	HABV_91_1_516               
1247324125                         	HABV_91_1_517               
1247324133                         	HABV_91_1_518               
1247324141                         	HABV_91_1_519               
124732415X                         	HABV_91_1_520               
1247324168                         	HABV_91_1_524               
1247324176                         	HABV_91_1_525               
1247324184                         	HABV_91_1_527               
1247324192                         	HABV_91_1_530               
1247324206                         	HABV_91_1_531               
1247324214                         	HABV_91_1_532               
1247324222                         	HABV_91_1_534               
1247324230                         	HABV_91_1_535               
1247324249                         	HABV_91_1_537               
1247324257                         	HABV_91_1_538               
1247324265                         	HABV_91_1_542               
1247324273                         	HABV_91_1_543               
1247324281                         	HABV_91_1_545               
124732429X                         	HABV_91_1_547               
