Id;Vorname;Geschlecht
350; Gerti;w
351; Hans;m
352; Alfred;m
353; Josef;m
354; Fritz;m
355; Margarethe;w
356; Karl A.;m
357; F. u. Waldemar;m
358; Katharine;w
359; Hermann;m
360; Heinz;m
361; Herbert;m
362; Rudolf;m
363; Siegfried;m
364; Paul;m
365; Engelbert;m
366; Hannah;w
367; Sinda;w
368; Heinrich;m
369; Georg;m
370; Wilhelm;m
371; Erich;m
372; Georg;m
373; Bodo;m
374; Adolf;m
375; Käte u. Max;m
376; Hermann;m
377; Adolf;m
378; Gertrud u. Heinrich;w
379; Walter;m
380; Walter;m
381; Theodor;m
382; Klaus;m
383; Johanna;w
384; Josef;m
385; Otto;m
386; Elisabeth;w
387; Ingeborg;w
388; Lorenz;m
389; Wilhelm;m
390; Maria;w
391; Gerhard;m
392; Ruth;w
393; Hilde;w
394; Oswald;m
395; Walther;m
396; Christine;w
397; Arthur u. Werner;m
398; Heinrich;m
399; Hete;w
400; Claus Silvester;m
401; Heinrich;m
402; Gustav;m
403; Max;m
404; Theo;m
405; Rosa;w
406; Heinz;m
407; Bernhard;m
408; Hans;m
409; Werner;m
410; Luise-Henriette;w
411; Werner;m
412; Gunter;m
413; Magda;w
414; Käthe;w
415; Katharina;w
416; Franz;m
417; Fritz;m
418; Gertrud;w
419; Uwe;m
420; Walter;m
421; Alfred;m
422; Kurt;m
423; Otto;m
424; Josef;m
425; Gerold;m
426; Albert;m
427; Wilhelm;m
428; Carl;m
429; Martha;w
430; August;m
431; Gisela;w
432; Karl-Heinz;m
433; Joseph E.;m
434; Hans;m
435; Heinrich u. Johanna;m
436; Konrad;m
437; Alfred;m
438; Erich;m
439; Hans;m
440; Franz;m
441; Ernst-Alfred von;m
442; Eva;w
443; Dora;w
444; Johann Friedrich;m
445; Karl;m
446; Elisabeth;w
447; Hans;m
448; Eva;w
449; Hasso;m
450; Willy;m
451; Alfred;m
452; Hildegard;w
453; Meta u. Georg;w
454; Carl;m
455; Hans;m
456; Max W.;m
457; Max;m
458; Franz;m
459; Otto;m
460; Günther;m
461; Hansjakob;m
462; Margrit u. Steffen;w
463; Wilhelm;m
464; Karl;m
465; Otto August;m
466; Max;m
467; Maria;w
468; Magdalena;w
469; Antonie;w
470; Hans-Jürgen;m
471; Ida;w
472; Ferdinand;m
473; Hans;m
474; Friedrich;m
475; Käte;w
476; Martha;w
477; Elisabeth u. Max;w
478; Wilhelm;m
479; Margot;w
480; Aenny u. Josef;m
481; Helmuth;m
482; Charlotte;w
483; Adolf;m
484; Anton;m
485; Heinrich;m
486; Johannes;m
487; Alice u. Friedrich;w
488; Hans;m
489; Oskar;m
490; Margarete;w
491; Otto;m
492; Hans;m
493; Kurt;m
494; Rudolf;m
495; Rudolf;m
496; Walther;m
497; Annette;w
498; Rosa;w
499; Franz-Wilhelm;m
500; Kurt;m
501; August;m
502; Karl-Theodor;m
503; Hans;m
504; Addy;m
505; Elisabeth;w
506; Karl;m
507; Max;m
508; Gustav;m
509; Finny;w
510; Bernhardine;w
511; Ilse;w
512; Franz;m
513; Fritz Karl;m
514; Walter;m
515; Else;w
516; Joseph Johann;m
517; Heinz;m
518; Ernst;m
519; Gerhard;m
520; Rudolf;m
521; Paul;m
522; Franziska Emilie;w
523; Rudolf;m
524; Tons;m
525; Hertha;w
526; Hermann;m
527; Werner;m
528; Ludwig u. Walter;m
529; Theodor;m
530; Erich;m
531; Anton;m
532; Elisabeth;w
533; Helmut;m
534; Alfons;m
535; Albert;m
536; Wilhelm;m
537; Gerhard;m
538; Hermann;m
539; Max;m
540; Kuno;m
541; Ilse;w
542; Franz-Xaver;m
543; Günther;m
544; Maria;w
545; Waltraud;w
546; Josef;m
547; Ludwig;m
548; Gertrud;w
549; Leo Stefan;m
550; Walter;m
551; Fritz;m
552; Adolf;m
553; Bernd;m
554; Elisabeth;w
555; Hans;m
556; Hedi;w
557; Hellmuth;m
558; Friedrich;m
559; Johann;m
560; Karl;m
561; Lothar u. Rose;m
562; Wilhelm;m
563; Alfred;m
564; Franz;m
565; Heinrich;m
566; Louise;w
567; Erich;m
568; Dieter;m
569; Walter;m
570; Erich;m
571; Richard;m
572; Else;w
573; Joseph;m
574; Hans Walter;m
575; Theodor;m
576; Max;m
577; Emil;m
578; Hilde;w
579; Helene;w
580; Arthur;m
581; Erwin;m
582; Else;w
583; Hermann;m
584; Walter;m
585; Inge;w
586; Josef;m
587; Richard;m
588; Alfred;m
589; Bruno;m
590; Eva;w
591; Anna;w
592; Paul;m
593; Gustav;m
594; Hans;m
595; Walter;m
596; Ivo;m
597; Richard;m
598; Alfred;m
599; Walther Hermann;m
600; Karl;m
601; W. Joachim;m
602; Reinhold;m
603; Eugen;m
604; Katharina u. Richard;w
