Id;Vorname;Geschlecht
1454; Frieda;w
1455; Oskar;m
1456; Gerda;w
1457; Franz;m
1458; Paul;m
1459; Erich;m
1460; Charlotte u. Fritz;w
1461; Erich;m
1462; Adolf;m
1463; Fritz;m
1464; Christel;w
1465; Johanna;w
1466; Alois;m
1467; Walter;m
1468; Eva;w
1469; Paula;w
1470; Josef;m
1471; Klara;w
1472; Valentin;m
1473; Irmgard von;w
1474; Lisbeth;w
1475; Fritz;m
1476; Ludwig;m
1477; Wilhelm;m
1478; Conrad;m
1479; Rudolf;m
1480; Hertha;w
1481; Anton;m
1482; Wolfgang;m
1483; Hans;m
1484; Kurt;m
1485; Otto;m
1486; Johanna;w
1487; Thoedora;w
1488; Walter;m
1489; Willy;m
1490; Emil;m
1491; Maria;w
1492; Georg;m
1493; Dorothea u. Ernst;w
1494; Johann;m
1495; Otto H.;m
1496; Helene;w
1497; Martin;m
1498; Johannes;m
1499; Anke;w
1500; Ernsthelmut;m
1501; Herbert;m
1502; Gerhard;m
1503; Georg;m
1504; Else;w
1505; Erich;m
1506; Berta;w
1507; Otto;m
1508; Gerda;w
1509; Erna;w
1510; Franz;m
1511; Arnold;m
1512; Victoria;w
1513; Anton;m
1514; Helmut;m
1515; Johannes;m
1516; Werner;m
1517; Kurt;m
1518; Charles Henri;m
1519; Ludwig;m
1520; Fritz u. Gertrud;m
1521; Helene;w
1522; Maria Eva von;w
1523; Wilhelm;m
1524; Robert;m
1525; Gustav;m
1526; Karl Gerhard;m
1527; Erna;w
1528; Ferdinand;m
1529; Albert;m
1530; Martin;m
1531; Wilhelm;m
1532; Hermann;m
1533; Käthe;w
1534; Edith;w
1535; Wilhelm;m
1536; Theodor;m
1537; Adelheid;w
1538; Franz;m
1539; Herbert u. Margot;m
1540; Johannes;m
1541; Kurt;m
1542; Erich;m
1543; Hanna;w
1544; Herta;w
1545; Benno;m
1546; Emil u. Luise;m
1547; Kurt u. Maria;m
1548; Fuat;m
1549; Elisabeth;w
1550; Rudolf;m
1551; Sophie;w
1552; Wilhelm;m
1553; Max;m
1554; Wilhelm;m
1555; Luise;w
1556; Arthur;m
1557; Gerhard;m
1558; Ingeborg;w
1559; G. Emil;m
1560; Eugen;m
1561; Gertrud;w
1562; Helene;w
1563; Kurt;m
1564; Valentin;m
1565; Helga;w
1566; Günther;m
1567; Helmuth;m
1568; Kurt;m
1569; Erich;m
1570; Fritz;m
1571; Friedrich Emil;m
1572; Ida;w
1573; Erich;m
1574; Wolfgang;m
1575; Felix;m
1576; Hans-Carl;m
1577; Otto Heinrich;m
1578; Hermann u. Konrad;m
1579; Johanna;w
1580; Kurt;m
1581; Karl;m
1582; Konrad;m
1583; Friedrich;m
1584; Hansjürgen;m
1585; Günther;m
1586; Liselotte;w
1587; Fritz;m
1588; Rudolf;m
1589; Karl;m
1590; Eva;w
1591; Lorenz;m
1592; Erich;m
1593; Friedrich;m
1594; Heinz;m
1595; Rudolf;m
1596; Emilie von;w
1597; Fritz;m
1598; Josef;m
1599; Hans;m
1600; Adolf;m
1601; Anna;w
1602; Dora;w
1603; Ernst;m
1604; Friedrich;m
1605; Gertrud;w
1606; Gustav;m
1607; Hanns;m
1608; Heinrich u. Henny;m
1609; Hildegard;w
1610; Johannes;m
1611; Ludwig;m
1612; Maria;w
1613; Otto H. F.;m
1614; Wilhelm;m
1615; Henri;m
1616; Hermann;m
1617; Anneliese;w
1618; Friedrich;m
1619; Hansgeorg;m
1620; Karl;m
1621; Hans;m
1622; Georg;m
1623; Rudolf;m
1624; Friedrich;m
1625; Arthur;m
1626; Jacob;m
1627; Hermann;m
1628; Karl;m
1629; Ilse;w
1630; Miron;m
1631; Gertrud;w
1632; Fritz;m
1633; Martin;m
1634; Franz;m
1635; Walter;m
1636; Johann;m
1637; Balthasar;m
1638; Hellmut;m
1639; Karl;m
1640; Martha;w
1641; Rudolf;m
1642; Walter;m
1643; Ruth;w
1644; Arnold;m
1645; Heinrich;m
1646; Ulrich;m
1647; Franz;m
1648; Paul;m
1649; Karl;m
1650; Elemér von;m
1651; Alfons;m
1652; Willem;m
1653; Hermann;m
1654; Paul;m
1655; Bruno;m
1656; Albrecht;m
1657; Walter;m
1658; Thea;w
1659; Alfred;m
1660; Fritz;m
1661; Fritz;m
1662; Georg;m
1663; Georg Wilhelm;m
1664; Gertrud;w
1665; Günther;m
1666; Hanns Georg;m
1667; Hardy;m
1668; Heinrich;m
1669; Helmut;m
1670; Lambert;m
1671; Martha;w
1672; Meta;w
1673; Oskar;m
1674; Otto;m
1675; Paul;m
1676; Rudolf;m
1677; Ursula;w
1678; Vera;w
1679; Werner;m
1680; Woldemar;m
1681; Wolf;m
1682; Wolfgang;m
1683; Burchard;m
1684; E. Hans;m
1685; Gertrud;w
1686; Elisabeth;w
1687; Thea;w
1688; Irmgard u. Rolf;w
1689; Wolfgang;m
1690; Arthur;m
1691; Ernst;m
1692; Franz Camillo;m
1693; Ernst;m
1694; Ernst;m
1695; Baron Janko von;m
1696; Liselotte;w
1697; Othmar;m
1698; Kurt;m
1699; Georg A.;m
1700; Erich;m
1701; Theodor;m
1702; Berthold;m
1703; Heinrich;m
1704; Heinrich;m
1705; Margarete;w
1706; Loni;w
1707; Kurt;m
1708; Gustav;m
1709; Hans-Joachim;m
1710; Johann;m
1711; Melitta;w
1712; Angelika u. Rudolf;w
1713; Wernher;m
1714; Gerhard;m
1715; Hans;m
1716; Hermann;m
1717; Marta;w
1718; Nicolaus;m
1719; Werner;m
1720; Max;m
1721; Hellmut;m
1722; Ernst;m
1723; Emil;m
1724; Adolf;m
1725; Hedwig;w
1726; Heinrich;m
1727; Hermann;m
1728; Werner;m
1729; Annemarie;w
1730; Vera u. Walter;w
1731; Anton;m
1732; Maria;w
1733; Kaspar;m
1734; Wilhelm;m
1735; Wilhelm;m
1736; Will;m
1737; Hans;m
1738; Ernst;m
1739; Hermann;m
1740; Ilse u. Johannes;w
1741; Josef;m
1742; Walter;m
1743; Helmut Hubert;m
1744; Adalbert;m
1745; Berthold;m
1746; Georg;m
1747; Georg;m
1748; Walther;m
1749; Paul;m
1750; Hans;m
1751; Roman;m
1752; Johann;m
1753; Auguste;w
1754; Ernst;m
1755; Horst;m
1756; Karl;m
1757; Georg;m
1758; Gerhard;m
1759; Anneliese;w
1760; Karl-Heinz;m
1761; Wilhelm;m
1762; Frieda;w
1763; Ernst;m
1764; Heinz;m
1765; Walter;m
1766; Friedrich;m
1767; Carl-Reinhard;m
1768; Hermann;m
1769; Kurt;m
1770; Else;w
1771; Konrad;m
1772; Max;m
1773; Fritz;m
1774; Ria;w
1775; Gerda;w
1776; Albert;m
1777; Wilhelm;m
1778; Karl;m
1779; Hans;m
1780; Max;m
1781; Claus;m
1782; Christel;w
1783; Curt;m
1784; Erich;m
1785; Heinrich;m
1786; Kurt;m
1787; Rudolf;m
1788; Erich;m
1789; Franz;m
1790; Robert;m
1791; Gustav;m
1792; Giorgio;m
1793; Josef;m
1794; Kurt Freiherr von;m
1795; Günther;m
1796; Cläre;w
1797; Dietrich;m
1798; Horst;m
1799; Kurt;m
1800; Konrad;m
1801; Richard;m
1802; Friedrich;m
1803; Jürgen;m
1804; Wilhelm;m
1805; Heinrich;m
1806; Amandus Kurt;m
1807; Gustav;m
1808; Martha u. Walter;w
1809; Hans-Joachim;m
1810; Eduard;m
1811; Franz-Wilhelm u. Hanns Gunther;m
1812; Martin;m
1813; Margarete;w
1814; Curt;m
1815; Karl;m
1816; Wolf Jürgen;m
1817; Fritz;m
1818; Georg;m
1819; Georg;m
1820; Grete;w
1821; Hans;m
1822; Karl;m
1823; Karl;m
1824; Maria;w
1825; Kurt;m
1826; Erhard;m
1827; Edy-Herbert;w
1828; Busso;m
1829; Josef;m
1830; Hermann;m
1831; Marie-Luise;w
1832; Gottfried;m
1833; Otto;m
1834; Otto;m
1835; Philipp;m
1836; Anton;m
1837; Arthur;m
1838; Johann;m
1839; Fritz;m
1840; Ludwig u. Marianne;m
1841; Herbert;m
1842; Kurt;m
1843; Karl;m
1844; Charlotte;w
1845; Martha;w
1846; Adolf;m
1847; Josef;m
1848; Albert;m
1849; Hedwig;w
1850; Wilhelm;m
1851; Walter;m
1852; Werner;m
1853; Günter;m
1854; Hans;m
1855; Carl;m
1856; Horst;m
1857; Ernst Karl;m
1858; Walter;m
1859; Anton;m
1860; Anton;m
1861; Friedrich;m
1862; Arnold;m
1863; Hans-Henning;m
1864; Hannelore;w
1865; Wilhelm;m
1866; Charlotte;w
1867; Hermann;m
1868; Maria;w
1869; Franz;m
1870; Inge;w
1871; Ernst P.;m
1872; Hildegard;w
1873; Eddy;m
1874; Ernst;m
1875; Hanna;w
1876; Wilhelm;m
1877; Fritz;m
1878; Hanns;m
1879; Wilhelm;m
1880; Karl;m
1881; Hans Anton u. Maria;m
1882; Carola;w
1883; Ernst;m
1884; Leonhard;m
1885; Ernst-Julius;m
1886; Fritz;m
1887; Friedrich;m
1888; Margarete;w
1889; Otto;m
1890; Alfred;m
1891; Erich;m
1892; Ernst;m
1893; Karl;m
1894; Erwin;m
1895; Willy;m
1896; Heinz;m
1897; Lotte;w
1898; Clara;w
1899; Heinrich;m
1900; Anton;m
1901; Hermann;m
1902; Werner;m
1903; Karl-Heinz von;m
1904; Friedrich;m
1905; Kurt;m
1906; Georg;m
1907; Elfriede;w
1908; Christine;w
1909; Margarete;w
1910; Lotte;w
1911; Erich;m
1912; Elisabeth;w
1913; Dino;m
1914; Georg;m
1915; Edmund;m
1916; Elisabeth u. Maria;w
1917; Mathilde;w
1918; Anna u. Josef;w
1919; Josef;m
1920; Margarethe;w
1921; Ella;w
1922; Hermann;m
1923; Ferdinand;m
1924; Johannes;m
1925; Paul;m
1926; Eva;w
1927; Hans-Georg;m
1928; Helmut;m
1929; Georg;m
1930; Franz;m
1931; Gerhard;m
1932; Berthold;m
1933; O. Camillus;m
1934; Wilhelm;m
1935; Henriette von;w
1936; Erich;m
1937; Ernst;m
1938; Wilhelm;m
1939; Heinz;m
1940; Irma;w
1941; Käte;w
1942; Franz;m
1943; Friedrich W.;m
1944; Hedwig;w
1945; Wilhelm;m
1946; Melanie;w
1947; Hanns;m
1948; Hans;m
1949; Georg;m
1950; Dorothea;w
1951; Sophie;w
1952; Eduard;m
1953; Alfred;m
1954; Friedrich;m
1955; Margot;w
1956; Paul;m
1957; Liesel;w
1958; Helmut;m
1959; Hermann u. Reinhard-Pape;m
1960; Elisabeth;w
1961; Josef;m
1962; Werner;m
1963; Ewald;m
1964; Karl;m
1965; Hans-Christoph;m
1966; Grete;w
1967; Carl August;m
1968; Elise;w
1969; Theo;m
1970; Hermann;m
1971; Werner;m
1972; Heinrich;m
1973; Hildegard;w
1974; Ferdinand von;m
1975; Ernst;m
1976; Franz u. Gisela;m
1977; Dorothea;w
1978; Herta;w
1979; Heinrich;m
1980; Elfriede;w
1981; Elisabeth;w
1982; Erich;m
1983; Franz;m
1984; Herta;w
1985; Karl;m
1986; Magarete;w
1987; Max;m
1988; Walter;m
1989; Wilhelm E.;m
1990; Hans;m
1991; Karl;m
1992; Hans;m
1993; Richard;m
1994; Hans;m
1995; Bruno;m
1996; Bernhard;m
1997; Franz Theodor;m
1998; Rudolf sen. u. Rudolf jun.;m
1999; Hans O. G.;m
2000; Hermann;m
2001; Maria;w
2002; Hedwig;w
2003; Carl;m
2004; Horst Alex;m
2005; Rudof Carl;m
2006; Franz;m
2007; Bernhard;m
2008; Norbert;m
2009; Manfred;m
2010; Erna;w
2011; Walter;m
2012; Hans Wilhelm;m
2013; Franz;m
2014; Eberhard;m
2015; Rolf;m
2016; Gustav A.;m
2017; Horst;m
2018; Christof;m
2019; Gunther;m
2020; Gerhart;m
2021; Mary;w
2022; Wilhelm;m
2023; Heinrich;m
2024; Anton;m
2025; Elisabeth von;w
2026; Karl;m
2027; W. August;m
2028; Caroline;w
2029; Christoph von der;m
2030; Otto;m
2031; Ferdinand;m
2032; Gerd;m
2033; Edgar;m
2034; Max;m
2035; Willi;m
2036; Friedericke;w
2037; Berta;w
2038; Josef;m
2039; Hans;m
2040; Adolf;m
2041; Gerhard;m
2042; Gustav;m
2043; Hannelore;w
2044; Hilde;w
2045; Klaus;m
2046; Wolfgang;m
2047; Eduard;m
2048; Erich;m
2049; Rudolf;m
2050; Ada;w
2051; Heinrich;m
2052; Johannes;m
2053; Fritz;m
2054; Xaver;m
2055; Ernst;m
2056; Irmgard;w
2057; Heinrich;m
2058; Erika;w
2059; Carl;m
2060; Violet;w
2061; Harry;m
2062; Helene;w
2063; Alex;m
2064; Oskar;m
2065; Karl;m
2066; Wilhelm;m
2067; Max;m
2068; Wilhelm;m
2069; Otto;m
2070; Ingeborg;w
2071; Kurt;m
2072; August Hans;m
2073; Maria;w
2074; Karl;m
2075; Oskar;m
2076; Irmgard;w
2077; Gerhard;m
2078; Adolf;m
2079; Johanna;w
2080; Wilhelm Eduard;m
2081; Karl;m
2082; Günter;m
2083; Hermann Karl Otto u. Margarete;m
2084; Ludwig;m
2085; Karl-Heinz;m
2086; Alice;w
2087; Georg;m
2088; Otto;m
2089; August u. Sophie;m
2090; Josefa;w
2091; Josef;m
2092; Fritz;m
2093; Karl Josef;m
2094; Irmfried Heinz;m
2095; Hugo;m
2096; Margarete;w
2097; Wilhelm;m
2098; Adolf;m
2099; Karl-Otto;m
2100; Arthur;m
2101; Werner;m
2102; Irma;w
2103; Paul;m
2104; Paula;w
2105; Georg;m
2106; Friedrich;m
2107; Helene;w
2108; Mathilde;w
2109; Max;m
2110; Erich;m
2111; Theo;m
2112; Friedrich;m
2113; Ingeborg von;w
2114; Alex;m
2115; Erna;w
2116; Bernhard;m
2117; Alois;m
2118; Emma Luise;w
2119; Berta;w
2120; Robert F.;m
2121; Friedrich;m
2122; Hannelore;w
2123; Hedwig;w
2124; Friedrich-Karl;m
2125; Georg Kurt;m
2126; Friedrich;m
2127; Fritz;m
2128; Erna;w
2129; Karl Albrecht von;m
2130; Anton;m
2131; Johannes Werner;m
2132; Georg;m
2133; Erich;m
2134; Helmut;m
2135; Erika u. Hans;w
2136; Erwin;m
2137; Herbert;m
2138; Otto;m
2139; Elisabeth;w
2140; Karl;m
2141; Kurt;m
2142; Philipp;m
2143; Karl-Heinrich;m
2144; Paul;m
2145; Gregor;m
2146; Hubert u. Renate;m
2147; Gertrud;w
2148; Friedrich;m
2149; Franz;m
2150; Heinrich;m
2151; Fritz;m
2152; Karl;m
2153; Marie;w
2154; Anna;w
2155; Hans;m
2156; Dieter;m
2157; Käthe;w
2158; Hans-Joachim;m
2159; Otto;m
2160; Hellmut;m
2161; Karl;m
2162; Gerda;w
2163; Kurt;m
2164; Franz;m
2165; Luise;w
2166; Alfred;m
2167; Anna Ida;w
2168; Bertel;m
2169; Dora;w
2170; Erich;m
2171; Fritz;m
2172; Gerda;w
2173; Gustav;m
2174; Hanna;w
2175; Hans;m
2176; Hedwig u. Max;w
2177; Helmuth;m
2178; Herbert G.;m
2179; Heribert;m
2180; Hermann;m
2181; Hermann;m
2182; Joachim;m
2183; Karl;m
2184; Karl;m
2185; Max;m
2186; Otto;m
2187; Richard;m
2188; Ruth-Marga;w
2189; Werner;m
2190; Roland;m
2191; Albert;m
2192; Karl u. Hans;m
2193; Josef;m
2194; Karlheinz;m
2195; Ferdinand u. Heinrich;m
2196; Helmi u. Peter;w
2197; Richard;m
2198; Wilhelm;m
2199; Wilhelm;m
2200; Arnold;m
2201; Annemarie;w
2202; Arno;m
2203; Christian;m
2204; Hans;m
2205; Jakob;m
2206; Luise;w
2207; Paul;m
2208; Wilhelm;m
2209; Wilhelm;m
2210; Willi;m
2211; Willi;m
2212; Wolfgang;m
2213; Ingeburg;w
2214; Karl;m
2215; Paula;w
2216; Thilde;w
2217; Werner;m
2218; Herbert;m
2219; Alois;m
2220; Gustav;m
2221; Walter u. Marianne;m
2222; Hildegard;w
2223; Fritz;m
2224; Martin;m
2225; Oscar;m
2226; Anni;w
2227; Eduard;m
2228; Otto;m
2229; Kurt;m
2230; Gabriele;w
2231; Hermann;m
2232; Ferdinand;m
2233; Wilhelm;m
2234; Bernhard;m
2235; Georg;m
2236; Gerd;m
2237; Günter;m
2238; Irmgard;w
2239; Joachim;m
2240; Franz;m
2241; Joachim;m
2242; Oskar;m
2243; Josef;m
2244; Georg;m
2245; Fritz;m
2246; Wolf R.;m
2247; Egon;m
2248; Heinrich;m
2249; Georg;m
2250; Guido;m
2251; Kurt;m
2252; Lili geb. Hiebler;w
2253; Gertrud;w
2254; Lydia;w
2255; Walter;m
2256; Lydia;w
2257; Willy;m
2258; Minnie;w
2259; Franz;m
2260; Joachim von;m
2261; Eberhard;m
2262; Ernst;m
2263; G. Ewald;m
2264; Hans;m
2265; Hermann;m
2266; Kurt;m
2267; Marion von;w
2268; Rita;w
2269; Heinrich;m
2270; Albert;m
2271; Lina;w
2272; Bernd;m
2273; Wilhelm;m
2274; Friedrich;m
2275; Johannes;m
2276; Ingrid;w
2277; Albin;m
2278; Alfons;m
2279; Siegfried;m
2280; Josef;m
2281; Paul;m
2282; Anton;m
2283; Annemarie;w
2284; Max;m
2285; Curt u. Rosa;m
2286; Hans;m
2287; Hans;m
2288; Berthold;m
2289; Paul;m
2290; Max Rudolf;m
2291; Susanne;w
2292; Walter E.;m
2293; Eduard F.;m
2294; Fritz;m
2295; Hermann;m
2296; Richard;m
2297; Karl-Friedrich;m
2298; Wolfram;m
2299; Erich;m
2300; Ludwig u. Wolfgang;m
2301; Paul;m
2302; Peter Otto;m
2303; Heinrich;m
2304; Emmy;w
2305; Gottfried;m
2306; Elise;w
2307; Karl;m
2308; Theodor;m
2309; Curt E.;m
2310; Emil;m
2311; Hendrik Ansas;m
2312; Johannes;m
2313; Hans;m
2314; Herta;w
2315; Johannes;m
2316; Helmut;m
2317; Maria;w
2318; Friedrich;m
2319; Adolf;m
2320; Georg;m
2321; Karl;m
2322; Margarete;w
2323; Margarethe;w
2324; Otto;m
2325; Reinhold;m
2326; Werner;m
2327; Wilhelm;m
2328; Ernst;m
2329; Else;w
2330; Emil;m
2331; Karlheinz;m
2332; Emil;m
2333; Franz;m
2334; Herbert;m
2335; Carl;m
2336; Joseph;m
2337; Oswald;m
2338; Fritz;m
2339; Erich;m
2340; Oskar;m
2341; Alexander E.;m
2342; Lore;w
2343; Elert A.;m
2344; Maria;w
2345; Gertrud;w
2346; Elly;w
2347; Margarethe G.;w
2348; Martin;m
2349; Willy;m
2350; Margot;w
2351; Alois u. Elisabeth;m
2352; Konrad;m
2353; Josef;m
2354; Franz Xaver;m
2355; Eduard;m
2356; Arthur L.;m
2357; Robert;m
2358; Kurt;m
2359; Hildegard;w
2360; Eugen;m
2361; Rudolf;m
2362; Irmgard;w
2363; Grete;w
2364; Josef;m
2365; Walter;m
2366; Hanns;m
2367; Karl;m
2368; Erwin;m
2369; Erich;m
2370; Georg E.;m
2371; Horst;m
2372; Curt;m
2373; Hans-Günter;m
2374; Berthold;m
2375; Helene;w
2376; Johannes;m
2377; Grete;w
2378; Heinrich;m
2379; Mathilde;w
2380; Samuel;m
2381; Karl;m
2382; Wilhelm;m
2383; Waltraut;w
2384; Alexander;m
2385; Anna;w
2386; Hedwig u. Josef;w
2387; Max;m
2388; Lotte;w
2389; Gertrud;w
2390; Carl;m
2391; Charlotte;w
2392; Sofie;w
2393; Kurt;m
2394; Ansgar;m
2395; Adam;m
2396; Kurd;m
2397; Karl L.;m
2398; Wilfried von;m
2399; Wolfram;m
2400; Alfred;m
2401; Kurt;m
2402; Henny;w
2403; Irmgard;w
2404; Bernard;m
2405; Erwin;m
2406; Willy u. Gesa;w
2407; Aimery;m
2408; Luise;w
2409; Josef;m
2410; Käte;w
2411; Walter;m
2412; Johann;m
2413; Walter;m
2414; August;m
2415; Georg P. K.;m
2416; Wilhelm;m
2417; Hannelore;w
2418; Adolf;m
2419; Herbert;m
2420; Otto;m
2421; Reinhold;m
2422; Friedrich;m
2423; Viktor;m
2424; Alfred;m
2425; Karl;m
2426; Oskar;m
2427; Werner;m
2428; Heinz;m
2429; Franz;m
2430; Franz;m
2431; Helga;w
2432; Gustav;m
2433; Emilie;w
2434; Ferdinand;m
2435; Hugo;m
2436; Julius;m
2437; Dorothee;w
2438; Florian;m
2439; Wolf Meinhard;m
2440; Harry;m
2441; Marinus M.;m
2442; Edmund;m
2443; Ernst Konrad;m
2444; Friedrich Adolf;m
2445; Karl;m
2446; Ernst;m
2447; Anton;m
2448; Walter;m
2449; Herbert;m
2450; Günther;m
2451; Max;m
2452; Maria;w
2453; Martha;w
2454; Karl;m
2455; Paul;m
2456; Gerhard;m
2457; Alfred;m
2458; Gottlob;m
2459; Gertrud;w
2460; Franz;m
2461; Ulrich;m
2462; Oskar;m
2463; Hans;m
2464; Carola;w
2465; Aenne;w
2466; Karl;m
2467; Heinrich u. Therese;m
2468; Edith;w
2469; Käthe;w
2470; August;m
2471; Carl;m
2472; Karl;m
2473; Lieselotte;w
2474; Dorothea u. Erich;w
2475; Ulrich;m
2476; Eberhard;m
2477; Helga;w
2478; Erich;m
2479; Julius Paul;m
2480; Hubert;m
2481; Josef;m
2482; Hermann;m
2483; Anne;w
2484; Paul;m
2485; Eberhard;m
2486; Kurt;m
2487; Willi;m
2488; Hans Joachim;m
2489; Karl;m
2490; Elise;w
2491; Manfred;m
2492; Wilhelm;m
2493; Edith;w
2494; Lucie;w
2495; Anny;w
2496; Johannes;m
2497; Franz;m
2498; Otto;m
2499; Hanns;m
2500; Robert;m
2501; Herbert;m
2502; Andreas;m
2503; Adam;m
2504; Kurt;m
2505; Wilhelm;m
2506; Ernst;m
2507; Adolf;m
2508; Fritz;m
2509; Hans;m
2510; Herbert;m
2511; Heinrich;m
2512; Dieter;m
2513; Martin;m
2514; Andreas Heinrich;m
2515; J. Carl;m
2516; Peter;m
2517; Emil;m
2518; Otto;m
2519; Gerhard;m
2520; Erika;w
2521; Josef;m
2522; Lelli von;w
2523; Erwin Freiherr von;m
2524; Otto;m
2525; Hans;m
2526; Gisela;w
2527; Werner;m
2528; Pista;w
2529; Ernestine;w
2530; Friedrich W.;m
2531; Bernhard;m
2532; Gertrud u. Walter;w
2533; Friedel;
2534; Fritz;m
2535; Heinrich;m
2536; Margarete;w
2537; Walter;m
2538; Karl;m
2539; Günther;m
2540; Anna;w
2541; Robert P.;m
2542; Theodor;m
2543; Alfred;m
2544; Jan;m
2545; Irene;w
2546; Otto;m
2547; Margarete;w
2548; Karl;m
2549; Josef;m
2550; Walter;m
2551; Walter;m
2552; Erich;m
2553; Walter Rudolf;m
2554; Dolly;w
2555; Siegfried;m
2556; Ernst;m
2557; Bernhard;m
2558; Rita;w
2559; Alexander;m
2560; Ingeborg;w
2561; Peter;m
2562; Friedrich;m
2563; Werner;m
2564; Marieluise;w
2565; Gerhard;m
2566; Herbert;m
2567; Richard u. Horst J.;m
2568; Engelberta;w
2569; Alfred;m
2570;Hans;m
2571; Wolf Freiherr von;m
2572; Wilhelm;m
2573; Julius;m
2574; Margot;w
2575; Therese;w
2576; Karl H.;m
2577; Richard;m
2578; Frieda;w
2579; Gustav;m
2580; Hans E.;m
2581; Leopold;m
2582; Werner von;m
2583; Ernst;m
2584; Arthur;m
2585; Tobias;m
2586; Karl;m
2587; Willy;m
2588; Otto;m
2589; Konrad D.;m
2590; Friedrich;m
2591; Curt;m
2592; Heinzpeter;m
2593; August Friedrich;m
2594; Ewald;m
2595; Rudolf;m
2596; Heinrich;m
2597; Philipp;m
2598; Friedrich;m
2599; Ingeborg;w
2600; Horst E.;m
2601; Alfons;m
2602; Josef;m
2603; Georg;m
2604; Karl;m
2605; Aquino;m
2606; Arthur Gustav;m
2607; Erich;m
2608; Friedrich;m
2609; Kurt;m
2610; Gerhard;m
2611; Karl;m
2612; Josepha;w
2613; Käthe;w
2614; Willy;m
2615; Helmut;m
2616; Otto-Helmuth von;m
2617; Rolf;m
2618; Gertrud;w
2619; Ernst;m
2620; Dieter u. Otto;m
2621; Henriette;w
2622; Joachim;m
2623; Fritz;m
2624; Friedrich;m
2625; Heinrich;m
2626; Friedrich Wilhelm;m
2627; Hermann;m
2628; Jürgen;m
2629; Karl Andreas;m
2630; Joseph;m
2631; Gisela;w
2632; Horst-Paul u. Paul;m
2633; Hans;m
2634; Carl;m
2635; Adalbert;m
2636; Aennie;w
2637; Anneliese;w
2638; Anton;m
2639; Georg;m
2640; Heinrich;m
2641; Herbert;m
2642; Irene;w
2643; Marie;w
2644; Paul;m
2645; Paula;w
2646; Joseph;m
2647; Marietta;w
2648; Sabine;w
2649; Frieda;w
2650; Hans;m
2651; Wolfgang u. Ruth;m
2652; Lucie;w
2653; Siegfried;m
2654; Viktor;m
2655; Emil;m
2656; Olga;w
2657; Herbert;m
2658; Adolf;m
2659; Adolf;m
2660; Marlu;w
2661; Johannes;m
2662; Hans;m
2663; Alfred u. Günter;m
2664; Peter;m
2665; Hans;m
2666; Heinz;m
2667; Artur;m
2668; Bruno;m
2669; Willi;m
2670; Alfred M.;m
2671; Anton;m
2672; Hanna;w
2673; Hedwig;w
2674; Heinz;m
2675; Heinrich;m
2676; Ilse;w
2677; Heinrich;m
2678; Marie;w
2679; Paul;m
2680; Christian;m
2681; Franz;m
2682; Christa;w
2683; A. Viktor;m
2684; Hermann;m
2685; Carl;m
2686; Ernst;m
2687; Felix;m
2688; Eleonore;w
2689; G. Theodor;m
2690; Erhard;m
2691; Anna;w
2692; Ernst;m
2693; Lieselotte;w
2694; Friedl;w
2695; Otto;m
2696; Rudolf;m
2697; Emil;m
2698; Gerda;w
2699; Josef M.;m
2700; Kurt;m
2701; Emma;w
2702; Bernhard F.;m
2703; Friedrich;m
2704; Babette u. Christian;w
2705; Theophil;m
2706; Erhard;m
2707; Herbert;m
2708; Max;m
2709; Minna;w
2710; Hedwig;w
2711; Walter;m
2712; Hilde;w
2713; Gustav;m
2714; Günter;m
2715; Hans-Erich;m
2716; Eberhard;m
2717; Fritz;m
2718; Hans;m
2719; Walter;m
2720; Heinrich;m
2721; Rudolf;m
2722; Kurt;m
2723; Ferdinand;m
2724; Paul;m
2725; Everhard;m
2726; Bruno;m
2727; Carl J. H.;m
2728; Berthold;m
2729; Franz;m
2730; G. Hugo;m
2731; Oskar;m
2732; Annette;w
2733; Erna;w
2734; Kurt;m
2735; Friedrich;m
2736; Kurt;m
2737; Hardo;m
2738; Hans;m
2739; Wilhelm;m
2740; Franz;m
2741; Hans;m
2742; Max;m
2743; Ernst;m
2744; Hans;m
2745; Maria;w
2746; Heinrich;m
2747; Karl;m
2748; Walter;m
2749; Karl;m
2750; Sepp;m
2751; Richard;m
2752; Susanna;w
2753; Georg;m
2754; Gertrud;w
2755; Heinz;m
2756; Heinrich;m
2757; Heinrich;m
2758; Eduard;m
2759; Max;m
2760; Franz;m
2761; Hans;m
2762; Marie;w
2763; Trude;w
2764; Carl;m
2765; Christian;m
2766; Franz;m
2767; Friedrich;m
2768; Kurt;m
2769; Heinrich;m
2770; Erich;m
2771; Hans;m
2772; Hilde;w
2773; Johannes;m
2774; Hubert;m
2775; Wilhelm;m
2776; Andreas;m
2777; Elisabeth;w
2778; Michael;m
2779; Emil;m
2780; Gretel;w
2781; Rolph;m
2782; Wilhelm u. Maria;m
2783; Arthur;m
2784; Johann;m
2785; Anneliese;w
2786; Georg;m
2787; Karl von;m
2788; Joseph Caspar;m
2789; Heinz;m
2790; Marianne;w
2791; Norbert;m
2792; Kurt;m
2793; Siegfried;m
2794; Willy;m
2795; Robert;m
2796; Wilhelm;m
2797; Wilhelm;m
2798; Gertrud;w
2799; Kurt;m
2800; Georg;m
2801; Carl;m
2802; Siegfried;m
2803; Frieder W.;m
2804; Fritz;m
2805; Leonhard;m
2806; Margarete;w
